지역명,전용면적,연도,월,평당분양가격
제주,60m²,2016,4,9414.9
제주,60m²~85m²,2016,4,9081.6
제주,85m²~102m²,2016,4,8992.5
제주,102m²~,2016,4,8586.6
서울,모든면적,2016,5,20671.199999999997
서울,60m²,2016,5,21905.399999999998
서울,60m²~85m²,2016,5,20476.5
서울,85m²~102m²,2016,5,25492.5
서울,102m²~,2016,5,20964.899999999998
인천,모든면적,2016,5,10490.699999999999
인천,60m²,2016,5,10965.9
인천,60m²~85m²,2016,5,10385.099999999999
인천,85m²~102m²,2016,5,11111.099999999999
인천,102m²~,2016,5,13833.599999999999
경기,모든면적,2016,5,11361.9
경기,60m²,2016,5,12276.0
경기,60m²~85m²,2016,5,11361.9
경기,85m²~102m²,2016,5,11121.0
경기,102m²~,2016,5,13054.8
부산,모든면적,2016,5,10388.4
부산,60m²,2016,5,9824.1
부산,60m²~85m²,2016,5,10134.3
부산,85m²~102m²,2016,5,10216.8
부산,102m²~,2016,5,11668.8
대구,모든면적,2016,5,10335.599999999999
대구,60m²,2016,5,11170.5
대구,60m²~85m²,2016,5,10447.8
대구,85m²~102m²,2016,5,8378.699999999999
대구,102m²~,2016,5,9051.9
광주,모든면적,2016,5,8982.6
광주,60m²,2016,5,8471.1
광주,60m²~85m²,2016,5,8985.9
광주,85m²~102m²,2016,5,9088.199999999999
광주,102m²~,2016,5,11609.4
대전,모든면적,2016,5,8134.5
대전,60m²,2016,5,8520.6
대전,60m²~85m²,2016,5,8009.099999999999
대전,85m²~102m²,2016,5,
대전,102m²~,2016,5,
울산,모든면적,2016,5,10154.099999999999
울산,60m²,2016,5,8580.0
울산,60m²~85m²,2016,5,10164.0
울산,85m²~102m²,2016,5,8787.9
울산,102m²~,2016,5,9791.1
세종,모든면적,2016,5,8844.0
세종,60m²,2016,5,8764.8
세종,60m²~85m²,2016,5,8906.699999999999
세종,85m²~102m²,2016,5,8758.199999999999
세종,102m²~,2016,5,8956.199999999999
강원,모든면적,2016,5,6986.099999999999
강원,60m²,2016,5,6972.9
강원,60m²~85m²,2016,5,7095.0
강원,85m²~102m²,2016,5,
강원,102m²~,2016,5,7553.7
충북,모든면적,2016,5,6534.0
충북,60m²,2016,5,6352.5
충북,60m²~85m²,2016,5,6679.2
충북,85m²~102m²,2016,5,7510.799999999999
충북,102m²~,2016,5,7494.299999999999
충남,모든면적,2016,5,7147.799999999999
충남,60m²,2016,5,7593.299999999999
충남,60m²~85m²,2016,5,7095.0
충남,85m²~102m²,2016,5,8428.199999999999
충남,102m²~,2016,5,8705.4
전북,모든면적,2016,5,6418.5
전북,60m²,2016,5,6299.7
전북,60m²~85m²,2016,5,6451.5
전북,85m²~102m²,2016,5,7487.7
전북,102m²~,2016,5,7662.599999999999
전남,모든면적,2016,5,6359.099999999999
전남,60m²,2016,5,6563.7
전남,60m²~85m²,2016,5,6352.5
전남,85m²~102m²,2016,5,7464.599999999999
전남,102m²~,2016,5,7180.799999999999
경북,모든면적,2016,5,7180.799999999999
경북,60m²,2016,5,7164.299999999999
경북,60m²~85m²,2016,5,7223.7
경북,85m²~102m²,2016,5,8827.5
경북,102m²~,2016,5,7665.9
경남,모든면적,2016,5,7857.299999999999
경남,60m²,2016,5,7995.9
경남,60m²~85m²,2016,5,7854.0
경남,85m²~102m²,2016,5,10817.4
경남,102m²~,2016,5,9045.3
제주,모든면적,2016,5,8880.3
제주,60m²,2016,5,9414.9
제주,60m²~85m²,2016,5,8949.6
제주,85m²~102m²,2016,5,8936.4
제주,102m²~,2016,5,8596.5
서울,모든면적,2016,6,20486.399999999998
서울,60m²,2016,6,21654.6
서울,60m²~85m²,2016,6,20519.399999999998
서울,85m²~102m²,2016,6,25515.6
서울,102m²~,2016,6,21004.5
인천,모든면적,2016,6,10573.199999999999
인천,60m²,2016,6,9837.3
인천,60m²~85m²,2016,6,11064.9
인천,85m²~102m²,2016,6,11394.9
인천,102m²~,2016,6,11800.8
경기,모든면적,2016,6,11688.599999999999
경기,60m²,2016,6,12477.3
경기,60m²~85m²,2016,6,11678.699999999999
경기,85m²~102m²,2016,6,11002.199999999999
경기,102m²~,2016,6,13440.9
부산,모든면적,2016,6,10395.0
부산,60m²,2016,6,9807.6
부산,60m²~85m²,2016,6,10127.699999999999
부산,85m²~102m²,2016,6,10734.9
부산,102m²~,2016,6,12285.9
